Δt (hr),p̄ws (psia)
696.0,2605.93
697.0,2605.93
698.0,2605.93
699.0,2605.93
700.0,2605.93
701.0,2605.93
702.0,2605.93
703.0,2605.93
704.0,2605.93
705.0,2605.93
706.0,2605.93
707.0,2605.93
708.0,2605.93
709.0,2605.93
710.0,2605.93
711.0,2605.93
712.0,2605.93
713.0,2605.93
714.0,2605.93
715.0,2605.93
716.0,2605.93
717.0,2605.93
718.0,2605.93
719.0,2605.93
720.0,2605.93
721.0,2605.93
722.0,2605.93
723.0,2605.93
724.0,2605.93
725.0,2605.93
726.0,2605.93
727.0,2605.93
728.0,2605.93
729.0,2605.93
730.0,2605.93
731.0,2605.93
732.0,2605.93
733.0,2605.93
734.0,2605.93
735.0,2605.93
736.0,2605.93
737.0,2605.93
738.0,2605.93
739.0,2605.93
740.0,2605.93
741.0,2605.93
742.0,2605.93
743.0,2605.93
744.0,2605.93
745.0,2605.93
746.0,2605.93
747.0,2605.93
748.0,2605.93
749.0,2605.93
750.0,2605.93
751.0,2605.93
752.0,2605.93
753.0,2605.93
754.0,2605.93
755.0,2605.93
756.0,2605.93
757.0,2605.93
758.0,2605.93
759.0,2605.93
760.0,2605.93
761.0,2605.93
762.0,2605.93
763.0,2605.93
764.0,2605.93
765.0,2605.93
766.0,2605.93
767.0,2605.93
768.0,2605.93
769.0,2605.93
770.0,2605.93
771.0,2605.93
772.0,2605.93
773.0,2605.93
774.0,2605.93
775.0,2605.93
776.0,2605.93
777.0,2605.93
778.0,2605.93
779.0,2605.93
780.0,2605.93
781.0,2605.93
782.0,2605.93
783.0,2605.93
784.0,2605.93
785.0,2605.93
786.0,2605.93
787.0,2605.93
788.0,2605.93
789.0,2605.93
790.0,2605.93
791.0,2605.93
792.0,2605.93
793.0,2605.93
794.0,2605.93
795.0,2605.93
796.0,2605.93
797.0,2605.93
798.0,2605.93
799.0,2605.93
800.0,2605.93
801.0,2605.93
802.0,2605.93
803.0,2605.93
804.0,2605.93
805.0,2605.93
806.0,2605.93
807.0,2605.93
808.0,2605.93
809.0,2605.93
810.0,2605.93
811.0,2605.93
812.0,2605.93
813.0,2605.93
814.0,2605.93
815.0,2605.93
816.0,2605.93
817.0,2605.93
818.0,2605.93
819.0,2605.93
820.0,2605.93
821.0,2605.93
822.0,2605.93
823.0,2605.93
824.0,2605.93
825.0,2605.93
826.0,2605.93
827.0,2605.93
828.0,2605.93
829.0,2605.93
830.0,2605.93
831.0,2605.93
832.0,2605.93
833.0,2605.93
